raw_accel_timestamp,raw_accel_x,raw_accel_y,raw_accel_z,clean_accel_timestamp,clean_accel_x,clean_accel_y,clean_accel_z,gyro_timestamp,gyro_x,gyro_y,gyro_z,gps_timestamp,speed,speed_accuracy
1785990267949,-2.3239500522613525,7.4569501876831055,4.7820000648498535,1785990267939,-0.5697770118713379,-0.2276729941368103,-0.24061599373817444,1785990267954,-0.31872498989105225,-0.5394124984741211,-0.22384999692440033,1785990266899,0.06969469785690308,0.1157989650964737
1785990267949,-2.3239500522613525,7.4569501876831055,4.7820000648498535,1785990267949,-0.35481399297714233,-0.09340800344944,-1.1455179452896118,1785990267954,-0.31872498989105225,-0.5394124984741211,-0.22384999692440033,1785990266899,0.06969469785690308,0.1157989650964737
1785990267959,-2.1660001277923584,7.573950290679932,4.3720502853393555,1785990267949,-0.35481399297714233,-0.09340800344944,-1.1455179452896118,1785990267954,-0.31872498989105225,-0.5394124984741211,-0.22384999692440033,1785990266899,0.06969469785690308,0.1157989650964737
1785990267959,-2.1660001277923584,7.573950290679932,4.3720502853393555,1785990267949,-0.35481399297714233,-0.09340800344944,-1.1455179452896118,1785990267954,-0.31872498989105225,-0.5394124984741211,-0.22384999692440033,1785990267892,0.07126307487487793,0.11166110634803772
1785990267959,-2.1660001277923584,7.573950290679932,4.3720502853393555,1785990267949,-0.35481399297714233,-0.09340800344944,-1.1455179452896118,1785990267964,-0.4433000087738037,-0.6362124681472778,-0.22165000438690186,1785990267892,0.07126307487487793,0.11166110634803772
1785990267959,-2.1660001277923584,7.573950290679932,4.3720502853393555,1785990267959,-0.20375700294971466,0.03191100060939789,-1.567425012588501,1785990267964,-0.4433000087738037,-0.6362124681472778,-0.22165000438690186,1785990267892,0.07126307487487793,0.11166110634803772
1785990267969,-1.9939501285552979,7.3690505027771,5.038050174713135,1785990267959,-0.20375700294971466,0.03191100060939789,-1.567425012588501,1785990267964,-0.4433000087738037,-0.6362124681472778,-0.22165000438690186,1785990267892,0.07126307487487793,0.11166110634803772
1785990267969,-1.9939501285552979,7.3690505027771,5.038050174713135,1785990267959,-0.20375700294971466,0.03191100060939789,-1.567425012588501,1785990267974,-0.5847874879837036,-0.8501625061035156,-0.23017500340938568,1785990267892,0.07126307487487793,0.11166110634803772
1785990267969,-1.9939501285552979,7.3690505027771,5.038050174713135,1785990267969,-0.049024999141693115,-0.15062199532985687,-0.9371489882469177,1785990267974,-0.5847874879837036,-0.8501625061035156,-0.23017500340938568,1785990267892,0.07126307487487793,0.11166110634803772
1785990267979,-2.530050039291382,7.864050388336182,4.537950038909912,1785990267969,-0.049024999141693115,-0.15062199532985687,-0.9371489882469177,1785990267974,-0.5847874879837036,-0.8501625061035156,-0.23017500340938568,1785990267892,0.07126307487487793,0.11166110634803772
1785990267979,-2.530050039291382,7.864050388336182,4.537950038909912,1785990267969,-0.049024999141693115,-0.15062199532985687,-0.9371489882469177,1785990267984,-0.6422625184059143,-0.7522624731063843,-0.2110625058412552,1785990267892,0.07126307487487793,0.11166110634803772
1785990267979,-2.530050039291382,7.864050388336182,4.537950038909912,1785990267979,-0.6048129796981812,0.36941400170326233,-1.4744280576705933,1785990267984,-0.6422625184059143,-0.7522624731063843,-0.2110625058412552,1785990267892,0.07126307487487793,0.11166110634803772
1785990267989,-1.8480000495910645,7.4160003662109375,5.827950477600098,1785990267979,-0.6048129796981812,0.36941400170326233,-1.4744280576705933,1785990267984,-0.6422625184059143,-0.7522624731063843,-0.2110625058412552,1785990267892,0.07126307487487793,0.11166110634803772
1785990267989,-1.8480000495910645,7.4160003662109375,5.827950477600098,1785990267979,-0.6048129796981812,0.36941400170326233,-1.4744280576705933,1785990267994,-0.6806250214576721,-0.7841625213623047,-0.234437495470047,1785990267892,0.07126307487487793,0.11166110634803772
