raw_accel_timestamp,raw_accel_x,raw_accel_y,raw_accel_z,clean_accel_timestamp,clean_accel_x,clean_accel_y,clean_accel_z,gyro_timestamp,gyro_x,gyro_y,gyro_z,gps_timestamp,speed,speed_accuracy,flagged
1783352214064,-0.286950021982193,5.2230000495910645,5.656050205230713,1783352214069,0.09040199965238571,-0.4387109875679016,-2.22794508934021,1783352214064,0.028462499380111694,0.08291249722242355,0.3012624979019165,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214074,-0.18900001049041748,5.26200008392334,5.823000431060791,1783352214069,0.09040199965238571,-0.4387109875679016,-2.22794508934021,1783352214064,0.028462499380111694,0.08291249722242355,0.3012624979019165,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214074,-0.18900001049041748,5.26200008392334,5.823000431060791,1783352214069,0.09040199965238571,-0.4387109875679016,-2.22794508934021,1783352214074,-0.011962499469518661,0.0648999959230423,0.29919999837875366,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214074,-0.18900001049041748,5.26200008392334,5.823000431060791,1783352214079,0.19825999438762665,-0.39218899607658386,-1.9405549764633179,1783352214074,-0.011962499469518661,0.0648999959230423,0.29919999837875366,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214074,-0.18900001049041748,5.26200008392334,5.823000431060791,1783352214079,0.19825999438762665,-0.39218899607658386,-1.9405549764633179,1783352214084,-0.01732499897480011,0.047849997878074646,0.282150000333786,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214084,-0.13095000386238098,5.380950450897217,6.300000190734863,1783352214079,0.19825999438762665,-0.39218899607658386,-1.9405549764633179,1783352214084,-0.01732499897480011,0.047849997878074646,0.282150000333786,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214084,-0.13095000386238098,5.380950450897217,6.300000190734863,1783352214089,0.07413899898529053,-0.26268500089645386,-1.5249290466308594,1783352214084,-0.01732499897480011,0.047849997878074646,0.282150000333786,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214084,-0.13095000386238098,5.380950450897217,6.300000190734863,1783352214089,0.07413899898529053,-0.26268500089645386,-1.5249290466308594,1783352214094,0.006187499966472387,0.011687500402331352,0.2545124888420105,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214094,-0.3439500033855438,5.479050159454346,6.453000068664551,1783352214089,0.07413899898529053,-0.26268500089645386,-1.5249290466308594,1783352214094,0.006187499966472387,0.011687500402331352,0.2545124888420105,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214094,-0.3439500033855438,5.479050159454346,6.453000068664551,1783352214099,-0.12597499787807465,-0.2799740135669708,-1.4524459838867188,1783352214094,0.006187499966472387,0.011687500402331352,0.2545124888420105,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214094,-0.3439500033855438,5.479050159454346,6.453000068664551,1783352214099,-0.12597499787807465,-0.2799740135669708,-1.4524459838867188,1783352214104,0.030662499368190765,0.04138749837875366,0.21931250393390656,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214104,-0.42600002884864807,5.424000263214111,6.51300048828125,1783352214099,-0.12597499787807465,-0.2799740135669708,-1.4524459838867188,1783352214104,0.030662499368190765,0.04138749837875366,0.21931250393390656,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214104,-0.42600002884864807,5.424000263214111,6.51300048828125,1783352214109,-0.1397700011730194,-0.3872010111808777,-1.3487550020217896,1783352214104,0.030662499368190765,0.04138749837875366,0.21931250393390656,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214104,-0.42600002884864807,5.424000263214111,6.51300048828125,1783352214109,-0.1397700011730194,-0.3872010111808777,-1.3487550020217896,1783352214114,0.035887498408555984,0.10628750175237656,0.17366249859333038,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214114,-0.49995002150535583,5.3620500564575195,6.690000534057617,1783352214109,-0.1397700011730194,-0.3872010111808777,-1.3487550020217896,1783352214114,0.035887498408555984,0.10628750175237656,0.17366249859333038,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214114,-0.49995002150535583,5.3620500564575195,6.690000534057617,1783352214119,-0.26590898633003235,-0.36768999695777893,-0.9934790134429932,1783352214114,0.035887498408555984,0.10628750175237656,0.17366249859333038,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214114,-0.49995002150535583,5.3620500564575195,6.690000534057617,1783352214119,-0.26590898633003235,-0.36768999695777893,-0.9934790134429932,1783352214124,0.0635249987244606,0.18301250040531158,0.13956250250339508,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214124,-0.7080000042915344,5.4910502433776855,7.180950164794922,1783352214119,-0.26590898633003235,-0.36768999695777893,-0.9934790134429932,1783352214124,0.0635249987244606,0.18301250040531158,0.13956250250339508,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214124,-0.7080000042915344,5.4910502433776855,7.180950164794922,1783352214129,-0.5728579759597778,-0.21013499796390533,-0.4768019914627075,1783352214124,0.0635249987244606,0.18301250040531158,0.13956250250339508,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214124,-0.7080000042915344,5.4910502433776855,7.180950164794922,1783352214129,-0.5728579759597778,-0.21013499796390533,-0.4768019914627075,1783352214134,0.14121249318122864,0.23196250200271606,0.11508750170469284,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214134,-0.9120000600814819,5.6449503898620605,7.669050216674805,1783352214129,-0.5728579759597778,-0.21013499796390533,-0.4768019914627075,1783352214134,0.14121249318122864,0.23196250200271606,0.11508750170469284,1783352213623,1.0191631317138672,0.17094582319259644,0
1783352214134,-0.9120000600814819,5.6449503898620605,7.669050216674805,1783352214139,-0.5926399827003479,-0.07760699838399887,-0.022905999794602394,1783352214134,0.14121249318122864,0.23196250200271606,0.11508750170469284,1783352213623,1.0191631317138672,0.17094582319259644,0
